Education,Marital_Status,Income,Child_Status,Total_Spend_2_Years,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Income_Group,Web_Frequency
Bachelor,No Partner,42373.0,1 or More,163,2,1,5,Middle,Low
Bachelor,With Partner,30507.0,No Child,343,5,1,4,Middle,Normal
PhD,No Partner,55521.0,1 or More,446,6,3,6,Middle,Normal
Bachelor,With Partner,48006.0,1 or More,41,1,0,3,Middle,Low
PhD,No Partner,27213.0,1 or More,70,2,0,4,Low,Low
PhD,No Partner,65808.0,1 or More,272,5,1,5,Upper Middle,Normal
PhD,With Partner,30351.0,1 or More,46,3,0,2,Middle,Low
Bachelor,With Partner,50437.0,1 or More,490,7,1,8,Middle,High
Master,No Partner,23616.0,1 or More,79,3,0,3,Low,Low
Bachelor,With Partner,53858.0,1 or More,915,4,3,6,Middle,Normal
PhD,With Partner,66465.0,1 or More,1485,11,9,12,Upper Middle,High
Bachelor,No Partner,46923.0,1 or More,369,5,1,7,Middle,Normal
Bachelor,With Partner,75072.0,1 or More,1073,5,4,8,Upper Middle,Normal
PhD,With Partner,75865.0,No Child,1242,3,5,10,Upper Middle,Low
Master,With Partner,19789.0,1 or More,78,2,1,3,Low,Low
Bachelor,With Partner,80134.0,No Child,1378,2,7,11,Upper Middle,Low
Bachelor,No Partner,91065.0,No Child,1474,7,9,9,Upper Middle,High
Master,With Partner,49505.0,1 or More,751,10,2,8,Middle,High
PhD,With Partner,37401.0,1 or More,48,2,0,3,Middle,Low
Bachelor,With Partner,30096.0,1 or More,45,2,0,3,Middle,Low
Master,With Partner,18492.0,1 or More,10,1,0,2,Low,Low
Master,With Partner,82584.0,No Child,1435,3,4,8,Upper Middle,Low
PhD,With Partner,93027.0,No Child,2119,7,10,5,Upper Middle,High
Bachelor,With Partner,48686.0,1 or More,20,1,0,2,Middle,Low
Bachelor,With Partner,92910.0,No Child,1795,6,7,13,Upper Middle,Normal
Bachelor,With Partner,75433.0,1 or More,1188,2,5,10,Upper Middle,Low
Master,With Partner,10404.0,1 or More,43,1,0,4,Low,Low
Bachelor,With Partner,61314.0,1 or More,1008,5,5,12,Middle,Normal
PhD,No Partner,84865.0,No Child,1688,2,4,9,Upper Middle,Low
Bachelor,With Partner,42387.0,1 or More,684,8,1,7,Middle,High
Master,With Partner,67309.0,1 or More,1082,9,6,9,Upper Middle,High
Bachelor,With Partner,75236.0,1 or More,1068,8,3,13,Upper Middle,High
Bachelor,No Partner,30015.0,1 or More,57,1,0,4,Middle,Low
Master,With Partner,50943.0,1 or More,46,1,0,3,Middle,Low
Bachelor,No Partner,67272.0,1 or More,733,6,2,12,Upper Middle,Normal
Master,No Partner,51529.0,1 or More,467,9,1,5,Middle,High
PhD,With Partner,32011.0,1 or More,122,2,1,4,Middle,Low
Master,With Partner,7500.0,1 or More,36,2,0,3,Low,Low
Bachelor,With Partner,28691.0,1 or More,34,1,0,3,Low,Low
PhD,With Partner,56223.0,1 or More,156,2,1,5,Middle,Low
Bachelor,With Partner,18100.0,No Child,14,0,0,3,Low,
Bachelor,No Partner,30279.0,1 or More,37,1,0,3,Middle,Low
Master,With Partner,20130.0,No Child,34,1,0,3,Low,Low
Bachelor,No Partner,23295.0,No Child,20,1,0,2,Low,Low
Master,No Partner,42618.0,1 or More,192,5,0,4,Middle,Normal
Bachelor,No Partner,81246.0,No Child,1379,4,5,7,Upper Middle,Normal
Bachelor,With Partner,24027.0,1 or More,48,2,0,3,Low,Low
PhD,With Partner,55707.0,1 or More,428,3,2,9,Middle,Low
Bachelor,No Partner,57959.0,1 or More,868,4,7,11,Middle,Normal
Bachelor,With Partner,56796.0,1 or More,1001,8,9,7,Middle,High
Master,No Partner,36230.0,1 or More,59,2,0,4,Middle,Low
Master,With Partner,70829.0,1 or More,431,4,2,8,Upper Middle,Normal
Bachelor,With Partner,65991.0,1 or More,971,9,5,10,Upper Middle,High
Bachelor,With Partner,38988.0,1 or More,348,5,1,6,Middle,Normal
Master,No Partner,89572.0,No Child,2059,7,7,9,Upper Middle,High
Master,With Partner,42207.0,1 or More,265,4,1,5,Middle,Normal
Bachelor,With Partner,50300.0,1 or More,270,2,1,8,Middle,Low
Master,With Partner,66664.0,No Child,1289,5,7,6,Upper Middle,Normal
Bachelor,With Partner,60597.0,1 or More,893,2,2,8,Middle,Low
Bachelor,No Partner,70165.0,No Child,926,3,7,11,Upper Middle,Low
PhD,No Partner,50520.0,1 or More,135,3,1,3,Middle,Low
Bachelor,With Partner,80124.0,No Child,1495,3,7,8,Upper Middle,Low
Bachelor,With Partner,33183.0,1 or More,120,4,0,3,Middle,Normal
PhD,No Partner,66582.0,No Child,1288,2,8,9,Upper Middle,Low
PhD,With Partner,75261.0,No Child,1743,5,6,5,Upper Middle,Normal
Bachelor,No Partner,31880.0,1 or More,15,1,0,2,Middle,Low
Bachelor,With Partner,53790.0,1 or More,542,7,2,8,Middle,High
PhD,With Partner,49269.0,1 or More,890,7,3,12,Middle,High
Bachelor,With Partner,61456.0,1 or More,1388,6,10,13,Middle,Normal
Bachelor,With Partner,37406.0,1 or More,17,1,0,2,Middle,Low
PhD,With Partner,56937.0,1 or More,906,8,6,9,Middle,High
Bachelor,With Partner,38415.0,1 or More,44,1,0,3,Middle,Low
Bachelor,No Partner,20518.0,1 or More,25,1,1,2,Low,Low
Bachelor,With Partner,62503.0,1 or More,973,8,3,11,Middle,High
PhD,No Partner,41644.0,1 or More,31,1,0,3,Middle,Low
Master,With Partner,55842.0,1 or More,518,7,1,8,Middle,High
PhD,With Partner,62010.0,1 or More,530,6,2,7,Middle,Normal
Bachelor,With Partner,41124.0,1 or More,506,7,3,4,Middle,High
Master,With Partner,38961.0,1 or More,70,2,1,2,Middle,Low
Master,No Partner,37760.0,1 or More,54,2,0,3,Middle,Low
Bachelor,No Partner,32233.0,1 or More,296,6,2,2,Middle,Normal
Bachelor,With Partner,43057.0,1 or More,266,4,2,5,Middle,Normal
Master,With Partner,83151.0,No Child,747,5,9,4,Upper Middle,Normal
PhD,No Partner,78825.0,No Child,895,5,10,13,Upper Middle,Normal
Master,With Partner,65104.0,1 or More,1053,3,5,7,Upper Middle,Low
Bachelor,With Partner,60093.0,1 or More,735,7,2,10,Middle,High
Bachelor,With Partner,14045.0,1 or More,20,1,0,3,Low,Low
Master,No Partner,28457.0,No Child,205,4,1,4,Low,Normal
PhD,With Partner,78952.0,1 or More,2092,2,5,12,Upper Middle,Low
Bachelor,No Partner,46310.0,1 or More,309,6,1,5,Middle,Normal
Bachelor,With Partner,76005.0,No Child,1722,3,5,13,Upper Middle,Low
Master,No Partner,58308.0,1 or More,900,2,6,3,Middle,Low
PhD,No Partner,55614.0,No Child,682,9,4,6,Middle,High
Master,No Partner,59432.0,1 or More,663,5,3,11,Middle,Normal
Bachelor,No Partner,55563.0,1 or More,43,2,0,3,Middle,Low
PhD,With Partner,78642.0,1 or More,1816,4,9,4,Upper Middle,Normal
PhD,With Partner,67911.0,1 or More,976,6,7,11,Upper Middle,Normal
Bachelor,With Partner,65275.0,No Child,746,4,3,13,Upper Middle,Normal
Bachelor,With Partner,27203.0,1 or More,64,1,1,2,Low,Low
Master,With Partner,48330.0,1 or More,32,1,0,3,Middle,Low
Bachelor,With Partner,24279.0,No Child,263,4,1,3,Low,Normal
PhD,With Partner,64355.0,1 or More,1445,4,3,12,Middle,Normal
Master,With Partner,50943.0,1 or More,46,1,0,3,Middle,Low
Bachelor,No Partner,53653.0,No Child,1210,10,4,12,Middle,High
Bachelor,With Partner,65665.0,1 or More,945,5,10,8,Upper Middle,Normal
Bachelor,No Partner,81217.0,No Child,1157,3,7,11,Upper Middle,Low
Bachelor,With Partner,34935.0,No Child,137,2,1,4,Middle,Low
Bachelor,No Partner,61250.0,1 or More,730,5,2,12,Middle,Normal
PhD,With Partner,39665.0,1 or More,216,4,2,3,Middle,Normal
Bachelor,No Partner,60152.0,1 or More,943,6,4,12,Middle,Normal
Bachelor,With Partner,48920.0,1 or More,347,6,2,5,Middle,Normal
Master,With Partner,89120.0,No Child,1924,5,6,7,Upper Middle,Normal
PhD,With Partner,44124.0,1 or More,397,6,2,5,Middle,Normal
Master,No Partner,81169.0,No Child,2089,5,7,9,Upper Middle,Normal
Bachelor,With Partner,36443.0,1 or More,138,3,1,3,Middle,Low
Bachelor,No Partner,26095.0,1 or More,42,1,0,3,Low,Low
Bachelor,With Partner,71367.0,No Child,777,4,5,7,Upper Middle,Normal
Master,With Partner,80184.0,No Child,1902,6,3,10,Upper Middle,Normal
Bachelor,No Partner,30630.0,1 or More,52,2,0,3,Middle,Low
Master,No Partner,73454.0,No Child,1651,2,4,6,Upper Middle,Low
Bachelor,With Partner,42691.0,No Child,358,5,1,6,Middle,Normal
Bachelor,With Partner,70503.0,No Child,1727,2,4,9,Upper Middle,Low
Bachelor,With Partner,25545.0,1 or More,210,2,2,3,Low,Low
Bachelor,With Partner,32880.0,1 or More,42,1,0,3,Middle,Low
PhD,With Partner,77863.0,No Child,1291,4,5,10,Upper Middle,Normal
Master,With Partner,50353.0,No Child,442,4,4,6,Middle,Normal
Bachelor,No Partner,61839.0,No Child,1895,4,8,4,Middle,Normal
PhD,With Partner,49154.0,1 or More,411,4,1,8,Middle,Normal
Master,No Partner,47682.0,1 or More,521,4,3,8,Middle,Normal
Bachelor,No Partner,72679.0,1 or More,1168,4,7,5,Upper Middle,Normal
Master,With Partner,57954.0,1 or More,493,8,2,6,Middle,High
Bachelor,With Partner,65316.0,1 or More,260,3,2,5,Upper Middle,Low
Bachelor,No Partner,28567.0,1 or More,46,2,0,3,Low,Low
Master,With Partner,47352.0,1 or More,319,6,1,5,Middle,Normal
Bachelor,With Partner,44931.0,1 or More,96,2,1,3,Middle,Low
Bachelor,No Partner,76982.0,No Child,1062,8,3,4,Upper Middle,High
Master,With Partner,57247.0,1 or More,232,2,1,7,Middle,Low
Master,No Partner,22944.0,1 or More,76,3,0,3,Low,Low
Master,With Partner,25315.0,1 or More,54,3,0,3,Low,Low
Bachelor,No Partner,43638.0,1 or More,201,4,1,4,Middle,Normal
PhD,No Partner,42710.0,1 or More,406,4,5,3,Middle,Normal
PhD,With Partner,84169.0,No Child,1919,7,6,6,Upper Middle,High
Bachelor,With Partner,54058.0,1 or More,662,4,6,8,Middle,Normal
Master,With Partner,24683.0,1 or More,41,2,0,4,Low,Low
Bachelor,No Partner,85620.0,No Child,1600,3,6,4,Upper Middle,Low
Bachelor,With Partner,47850.0,1 or More,134,3,0,4,Middle,Low
Bachelor,With Partner,19514.0,1 or More,69,3,1,2,Low,Low
Master,With Partner,27159.0,1 or More,21,1,0,3,Low,Low
Master,No Partner,39548.0,1 or More,54,1,1,3,Middle,Low
Bachelor,No Partner,21474.0,1 or More,91,3,1,2,Low,Low
PhD,No Partner,60504.0,1 or More,526,6,2,8,Middle,Normal
Bachelor,With Partner,22419.0,No Child,162,3,2,2,Low,Low
Master,With Partner,81698.0,No Child,1008,3,8,13,Upper Middle,Low
Bachelor,With Partner,43462.0,1 or More,240,4,1,5,Middle,Normal
PhD,No Partner,54880.0,1 or More,795,6,2,11,Middle,Normal
Bachelor,With Partner,79908.0,No Child,1772,5,6,7,Upper Middle,Normal
Master,With Partner,15315.0,No Child,64,2,0,4,Low,Low
Bachelor,With Partner,87771.0,1 or More,1957,5,10,4,Upper Middle,Normal
Bachelor,With Partner,33039.0,1 or More,78,2,0,4,Middle,Low
Bachelor,No Partner,81741.0,No Child,1572,6,6,7,Upper Middle,Normal
Master,With Partner,71499.0,1 or More,795,8,3,13,Upper Middle,High
Master,With Partner,62466.0,1 or More,889,6,3,12,Middle,Normal
PhD,No Partner,48799.0,1 or More,331,3,2,7,Middle,Low
PhD,With Partner,52157.0,1 or More,265,3,2,5,Middle,Low
Bachelor,No Partner,66565.0,1 or More,1065,4,2,9,Upper Middle,Normal
Master,With Partner,29298.0,1 or More,11,1,0,2,Low,Low
Bachelor,No Partner,47691.0,1 or More,21,1,0,2,Middle,Low
Bachelor,With Partner,38200.0,1 or More,17,1,0,2,Middle,Low
Bachelor,With Partner,44989.0,1 or More,369,5,1,5,Middle,Normal
PhD,With Partner,38443.0,1 or More,38,1,0,3,Middle,Low
Master,No Partner,38593.0,1 or More,177,4,1,3,Middle,Normal
PhD,With Partner,64413.0,1 or More,279,5,1,5,Middle,Normal
Master,With Partner,36959.0,1 or More,62,2,0,3,Middle,Low
PhD,With Partner,61996.0,1 or More,1230,6,4,8,Middle,Normal
Bachelor,With Partner,51287.0,1 or More,182,4,1,3,Middle,Normal
Bachelor,With Partner,13260.0,1 or More,49,3,0,3,Low,Low
PhD,With Partner,47472.0,1 or More,75,2,0,4,Middle,Low
Master,With Partner,54603.0,1 or More,227,4,2,4,Middle,Normal
PhD,With Partner,45207.0,1 or More,215,3,1,6,Middle,Low
Bachelor,With Partner,40689.0,1 or More,444,7,1,5,Middle,High
Master,With Partner,47821.0,1 or More,47,1,0,3,Middle,Low
Master,With Partner,27450.0,No Child,143,2,1,3,Low,Low
Bachelor,With Partner,39453.0,1 or More,55,2,0,3,Middle,Low
Master,With Partner,26850.0,1 or More,63,2,1,4,Low,Low
Bachelor,No Partner,79800.0,No Child,1867,5,11,5,Upper Middle,Normal
Master,With Partner,61794.0,1 or More,611,4,4,10,Middle,Normal
Bachelor,With Partner,53863.0,1 or More,473,7,1,7,Middle,High
Bachelor,With Partner,24221.0,No Child,55,1,1,3,Low,Low
PhD,No Partner,39684.0,1 or More,81,2,1,2,Middle,Low
Master,With Partner,92163.0,No Child,2086,5,11,5,Upper Middle,Normal
Master,No Partner,69882.0,No Child,1478,3,7,9,Upper Middle,Low
Bachelor,With Partner,33178.0,1 or More,49,1,0,3,Middle,Low
PhD,With Partner,59973.0,No Child,382,3,4,7,Middle,Low
Master,With Partner,17459.0,1 or More,69,3,1,2,Low,Low
Bachelor,No Partner,23910.0,1 or More,67,2,0,3,Low,Low
Master,With Partner,42169.0,1 or More,30,1,0,3,Middle,Low
Master,With Partner,26224.0,1 or More,63,2,1,3,Low,Low
Bachelor,With Partner,31089.0,1 or More,79,3,0,4,Middle,Low
Bachelor,No Partner,30081.0,1 or More,42,1,0,3,Middle,Low
Bachelor,With Partner,62807.0,1 or More,819,5,3,12,Middle,Normal
Bachelor,No Partner,72906.0,No Child,1151,3,4,9,Upper Middle,Low
PhD,With Partner,61467.0,1 or More,594,5,2,10,Middle,Normal
Master,With Partner,49618.0,1 or More,129,3,1,3,Middle,Low
Master,No Partner,21888.0,1 or More,213,5,1,2,Low,Normal
Bachelor,No Partner,42429.0,1 or More,67,1,1,3,Middle,Low
Bachelor,No Partner,26150.0,1 or More,28,1,0,3,Low,Low
Bachelor,With Partner,30801.0,1 or More,45,1,0,3,Middle,Low
Bachelor,With Partner,81168.0,No Child,1193,6,4,7,Upper Middle,Normal
Master,No Partner,26877.0,No Child,268,3,1,6,Low,Low
Master,No Partner,45006.0,No Child,266,3,1,7,Middle,Low
Bachelor,With Partner,18978.0,1 or More,37,1,0,3,Low,Low
Bachelor,With Partner,22574.0,1 or More,37,2,0,3,Low,Low
PhD,No Partner,48240.0,No Child,882,6,3,13,Middle,Normal
Bachelor,With Partner,45837.0,1 or More,373,6,2,5,Middle,Normal
Master,No Partner,35791.0,1 or More,35,1,0,3,Middle,Low
PhD,With Partner,162397.0,1 or More,107,0,0,1,High,
Bachelor,No Partner,54162.0,1 or More,42,1,0,3,Middle,Low
Master,With Partner,30522.0,1 or More,326,1,2,9,Middle,Low
PhD,With Partner,54456.0,1 or More,404,6,1,7,Middle,Normal
Bachelor,No Partner,31632.0,No Child,95,2,1,2,Middle,Low
Bachelor,No Partner,72298.0,No Child,939,4,3,6,Upper Middle,Normal
Master,No Partner,36975.0,1 or More,33,1,0,3,Middle,Low
Master,With Partner,72635.0,No Child,981,6,8,6,Upper Middle,Normal
Bachelor,With Partner,13624.0,1 or More,36,2,0,3,Low,Low
Bachelor,No Partner,84196.0,1 or More,1237,8,4,7,Upper Middle,High
Bachelor,With Partner,70971.0,1 or More,1825,11,11,5,Upper Middle,High
PhD,No Partner,34487.0,1 or More,103,3,0,3,Middle,Low
Bachelor,No Partner,28769.0,1 or More,191,4,1,4,Low,Normal
PhD,With Partner,69084.0,1 or More,1586,7,3,13,Upper Middle,High
PhD,With Partner,65488.0,No Child,963,3,4,6,Upper Middle,Low
Master,With Partner,62466.0,1 or More,889,6,3,12,Middle,Normal
Master,No Partner,32218.0,No Child,93,2,1,3,Middle,Low
Bachelor,No Partner,83917.0,No Child,1587,6,7,7,Upper Middle,Normal
Bachelor,No Partner,46102.0,1 or More,16,1,0,2,Middle,Low
Bachelor,No Partner,84574.0,No Child,1375,9,11,11,Upper Middle,High
Bachelor,With Partner,56181.0,1 or More,393,4,2,7,Middle,Normal
Master,No Partner,63120.0,1 or More,1477,8,4,9,Middle,High
Bachelor,With Partner,73691.0,1 or More,1179,6,2,8,Upper Middle,Normal
Bachelor,With Partner,63381.0,1 or More,1005,4,5,13,Middle,Normal
PhD,With Partner,76140.0,No Child,1348,5,9,6,Upper Middle,Normal
PhD,No Partner,62859.0,1 or More,1307,9,4,6,Middle,High
Bachelor,No Partner,45906.0,1 or More,486,5,4,4,Middle,Normal
Master,With Partner,77632.0,No Child,2252,4,2,6,Upper Middle,Normal
PhD,With Partner,46463.0,1 or More,235,3,1,6,Middle,Low
Bachelor,With Partner,105471.0,No Child,1724,9,8,13,High,High
Master,No Partner,55282.0,1 or More,235,3,1,6,Middle,Low
Master,With Partner,78710.0,1 or More,1092,7,6,12,Upper Middle,High
Bachelor,With Partner,66886.0,1 or More,599,7,1,7,Upper Middle,High
Master,No Partner,98777.0,No Child,2008,4,6,9,Upper Middle,Normal
Bachelor,With Partner,29103.0,1 or More,48,1,0,3,Low,Low
Bachelor,With Partner,67445.0,1 or More,1174,9,6,12,Upper Middle,High
PhD,With Partner,50616.0,1 or More,67,1,1,4,Middle,Low
Bachelor,No Partner,49431.0,1 or More,365,7,1,5,Middle,High
Bachelor,No Partner,153924.0,No Child,6,0,0,0,High,
Bachelor,With Partner,61278.0,1 or More,165,3,1,4,Middle,Low
Master,With Partner,26490.0,No Child,210,3,1,5,Low,Low
PhD,With Partner,73059.0,1 or More,1095,9,3,13,Upper Middle,High
PhD,No Partner,46734.0,1 or More,223,3,2,3,Middle,Low
Bachelor,With Partner,56253.0,1 or More,597,7,2,9,Middle,High
Bachelor,With Partner,19986.0,1 or More,22,0,0,3,Low,
Bachelor,No Partner,58330.0,1 or More,1064,6,4,13,Middle,Normal
Bachelor,With Partner,25965.0,No Child,74,2,0,3,Low,Low
Master,With Partner,14661.0,No Child,26,1,0,3,Low,Low
Bachelor,With Partner,18690.0,No Child,60,1,1,2,Low,Low
PhD,With Partner,45068.0,1 or More,20,1,0,2,Middle,Low
Bachelor,No Partner,21063.0,1 or More,59,2,0,3,Low,Low
PhD,With Partner,29187.0,1 or More,34,1,0,3,Low,Low
Master,With Partner,54690.0,1 or More,198,3,1,5,Middle,Low
PhD,With Partner,59304.0,1 or More,1048,7,8,10,Middle,High
Master,No Partner,59247.0,1 or More,574,5,2,9,Middle,Normal
Bachelor,No Partner,66731.0,1 or More,1029,4,3,6,Upper Middle,Normal
Bachelor,With Partner,77353.0,1 or More,670,6,4,8,Upper Middle,Normal
PhD,No Partner,52614.0,1 or More,990,2,4,8,Middle,Low
Bachelor,With Partner,26751.0,1 or More,11,1,0,2,Low,Low
PhD,With Partner,81300.0,1 or More,1241,10,3,5,Upper Middle,High
Bachelor,No Partner,70337.0,No Child,576,2,2,12,Upper Middle,Low
Master,With Partner,36145.0,1 or More,172,4,1,3,Middle,Normal
PhD,No Partner,65295.0,No Child,664,3,3,13,Upper Middle,Low
Bachelor,No Partner,68118.0,1 or More,928,8,9,4,Upper Middle,High
Bachelor,No Partner,68743.0,No Child,2074,11,5,13,Upper Middle,High
Master,With Partner,41039.0,No Child,467,8,1,5,Middle,High
Bachelor,With Partner,38946.0,1 or More,257,3,1,6,Middle,Low
Bachelor,With Partner,65777.0,No Child,1146,2,8,6,Upper Middle,Low
PhD,No Partner,66476.0,1 or More,689,5,2,11,Upper Middle,Normal
PhD,No Partner,86857.0,No Child,2114,5,6,10,Upper Middle,Normal
PhD,With Partner,160803.0,No Child,1717,0,28,1,High,
PhD,With Partner,77845.0,No Child,1346,3,5,12,Upper Middle,Low
PhD,With Partner,69476.0,No Child,1044,4,6,4,Upper Middle,Normal
PhD,No Partner,50611.0,1 or More,493,4,5,7,Middle,Normal
Bachelor,No Partner,61209.0,No Child,957,5,3,4,Middle,Normal
Master,With Partner,42315.0,1 or More,270,1,4,4,Middle,Low
Bachelor,With Partner,13084.0,No Child,29,1,0,3,Low,Low
Master,No Partner,47570.0,1 or More,121,2,2,2,Middle,Low
Master,With Partner,61923.0,1 or More,126,2,1,4,Middle,Low
Bachelor,No Partner,34824.0,No Child,23,1,0,2,Middle,Low
PhD,No Partner,26518.0,1 or More,57,2,0,3,Low,Low
Bachelor,No Partner,45938.0,No Child,636,8,4,6,Middle,High
Bachelor,With Partner,78468.0,No Child,1004,10,7,10,Upper Middle,High
Bachelor,No Partner,78901.0,1 or More,734,9,3,5,Upper Middle,High
Bachelor,With Partner,71427.0,1 or More,614,8,2,8,Upper Middle,High
Bachelor,No Partner,71022.0,1 or More,1453,5,2,11,Upper Middle,Normal
Master,No Partner,90247.0,No Child,1621,3,4,7,Upper Middle,Low
Master,No Partner,41335.0,1 or More,187,4,1,4,Middle,Normal
Bachelor,With Partner,71952.0,1 or More,1443,8,4,8,Upper Middle,High
PhD,No Partner,35682.0,1 or More,57,1,1,3,Middle,Low
Bachelor,No Partner,43185.0,1 or More,637,9,3,6,Middle,High
PhD,With Partner,66375.0,1 or More,948,2,4,5,Upper Middle,Low
Master,With Partner,35178.0,1 or More,59,1,1,2,Middle,Low
Bachelor,With Partner,25252.0,1 or More,18,1,0,2,Low,Low
Master,No Partner,55250.0,1 or More,903,7,5,10,Middle,High
Bachelor,No Partner,33249.0,1 or More,112,2,1,3,Middle,Low
Bachelor,With Partner,58398.0,No Child,596,5,4,8,Middle,Normal
Bachelor,With Partner,50272.0,1 or More,233,4,1,5,Middle,Normal
PhD,With Partner,76618.0,No Child,1511,3,2,5,Upper Middle,Low
Master,No Partner,87305.0,No Child,1152,5,3,8,Upper Middle,Normal
Bachelor,With Partner,25851.0,1 or More,48,2,0,3,Low,Low
Bachelor,No Partner,58710.0,1 or More,1185,11,5,9,Middle,High
Bachelor,No Partner,45160.0,1 or More,21,1,0,2,Middle,Low
Master,With Partner,74806.0,1 or More,965,5,4,5,Upper Middle,Normal
Bachelor,With Partner,59111.0,No Child,869,11,1,8,Middle,High
PhD,With Partner,18988.0,1 or More,16,1,0,3,Low,Low
Bachelor,With Partner,72190.0,No Child,1947,5,6,4,Upper Middle,Normal
Bachelor,With Partner,7500.0,1 or More,71,4,1,2,Low,Normal
Bachelor,With Partner,44794.0,1 or More,65,2,0,3,Middle,Low
Bachelor,With Partner,80395.0,No Child,1380,6,5,12,Upper Middle,Normal
Master,No Partner,75012.0,No Child,1027,3,8,11,Upper Middle,Low
Master,With Partner,56962.0,1 or More,411,6,3,5,Middle,Normal
Bachelor,With Partner,89891.0,No Child,836,11,6,8,Upper Middle,High
PhD,No Partner,35946.0,1 or More,11,0,0,3,Middle,
PhD,With Partner,53593.0,1 or More,480,7,2,6,Middle,High
Bachelor,With Partner,66373.0,1 or More,606,4,2,10,Upper Middle,Normal
PhD,No Partner,45072.0,1 or More,284,6,1,4,Middle,Normal
Bachelor,No Partner,89694.0,1 or More,1472,4,3,4,Upper Middle,Normal
Bachelor,With Partner,72025.0,No Child,1677,4,8,13,Upper Middle,Normal
Bachelor,With Partner,67432.0,1 or More,1335,8,5,4,Upper Middle,High
Master,With Partner,70545.0,1 or More,334,4,1,7,Upper Middle,Normal
Bachelor,With Partner,17487.0,1 or More,18,1,0,2,Low,Low
Bachelor,With Partner,62882.0,1 or More,1338,7,5,6,Middle,High
PhD,No Partner,64108.0,1 or More,1099,6,9,11,Middle,Normal
Master,With Partner,34941.0,1 or More,97,3,0,3,Middle,Low
PhD,No Partner,48767.0,1 or More,63,2,1,3,Middle,Low
Master,With Partner,38702.0,1 or More,109,3,0,4,Middle,Low
Bachelor,With Partner,82224.0,No Child,902,6,9,5,Upper Middle,Normal
Bachelor,With Partner,83844.0,No Child,1574,4,4,11,Upper Middle,Normal
Master,With Partner,17003.0,1 or More,38,2,0,4,Low,Low
Bachelor,No Partner,71163.0,No Child,960,3,8,12,Upper Middle,Low
Bachelor,No Partner,33697.0,1 or More,28,1,0,2,Middle,Low
Master,With Partner,63564.0,No Child,1215,10,10,7,Middle,High
PhD,With Partner,83443.0,No Child,1497,6,10,5,Upper Middle,Normal
PhD,With Partner,51518.0,1 or More,449,3,2,10,Middle,Low
Bachelor,No Partner,58330.0,1 or More,1064,6,4,13,Middle,Normal
Bachelor,With Partner,80952.0,No Child,1757,8,5,11,Upper Middle,High
Bachelor,With Partner,75507.0,No Child,1440,8,6,6,Upper Middle,High
Master,With Partner,63855.0,No Child,1006,7,3,13,Middle,High
PhD,With Partner,62220.0,1 or More,1226,7,6,5,Middle,High
Bachelor,With Partner,58512.0,1 or More,1171,3,4,8,Middle,Low
Master,With Partner,40662.0,1 or More,92,2,1,3,Middle,Low
PhD,With Partner,38829.0,1 or More,99,3,2,2,Middle,Low
Master,With Partner,35523.0,1 or More,66,3,0,3,Middle,Low
Bachelor,No Partner,79146.0,1 or More,564,8,1,8,Upper Middle,High
Master,With Partner,78285.0,No Child,1427,6,4,10,Upper Middle,Normal
PhD,No Partner,31626.0,1 or More,86,2,1,2,Middle,Low
Bachelor,No Partner,75127.0,No Child,833,2,11,5,Upper Middle,Low
Bachelor,With Partner,48726.0,1 or More,242,3,2,4,Middle,Low
Bachelor,With Partner,74985.0,No Child,1869,3,6,7,Upper Middle,Low
Bachelor,With Partner,67430.0,No Child,1364,11,5,12,Upper Middle,High
Master,With Partner,46891.0,1 or More,183,2,1,4,Middle,Low
Master,With Partner,62058.0,1 or More,450,6,1,7,Middle,Normal
Bachelor,With Partner,72063.0,1 or More,758,5,2,12,Upper Middle,Normal
PhD,With Partner,78939.0,No Child,1507,8,5,6,Upper Middle,High
Bachelor,No Partner,42720.0,1 or More,654,7,3,7,Middle,High
Bachelor,With Partner,33622.0,1 or More,81,2,0,4,Middle,Low
PhD,With Partner,6835.0,1 or More,137,0,0,1,Low,
Bachelor,With Partner,41452.0,1 or More,16,1,0,2,Middle,Low
PhD,No Partner,40760.0,1 or More,93,2,1,3,Middle,Low
PhD,With Partner,74250.0,No Child,1158,2,11,4,Upper Middle,Low
Master,No Partner,51124.0,1 or More,43,1,0,3,Middle,Low
Bachelor,No Partner,72258.0,1 or More,1525,6,9,5,Upper Middle,Normal
PhD,No Partner,71466.0,No Child,1230,4,4,10,Upper Middle,Normal
Bachelor,With Partner,36283.0,1 or More,29,1,0,3,Middle,Low
Bachelor,No Partner,20587.0,1 or More,25,1,1,2,Low,Low
Bachelor,With Partner,30467.0,1 or More,24,1,0,2,Middle,Low
Bachelor,With Partner,31590.0,1 or More,38,1,0,3,Middle,Low
Bachelor,With Partner,20425.0,1 or More,57,2,0,3,Low,Low
Master,With Partner,17144.0,1 or More,47,3,0,4,Low,Low
PhD,No Partner,42564.0,1 or More,813,6,8,4,Middle,Normal
Master,With Partner,43783.0,1 or More,629,7,1,8,Middle,High
Bachelor,No Partner,40780.0,1 or More,377,7,1,5,Middle,High
Master,With Partner,62847.0,No Child,1612,3,6,4,Middle,Low
PhD,With Partner,82017.0,No Child,729,5,4,7,Upper Middle,Normal
Bachelor,No Partner,16813.0,No Child,50,2,0,3,Low,Low
